,Unnamed: 0,dR/dT,models,experiment,var
450,8,-0.0095110483636694,mies2l,slow,Omega
451,9,-0.0151877107475318,miesm,slow,Omega
452,10,-0.0135270975126326,mi5,slow,Omega
453,11,-0.0153304038949002,mi6,slow,Omega
454,12,-0.0079122087361302,mpi,slow,Omega
455,13,-0.0125246487450987,mrcgcm,slow,Omega
456,14,-0.010801694704075,mresm,slow,Omega
457,15,-0.0005978649767449,ukesm,slow,Omega
459,0,-0.016644708427767,ccsm4,slow,WS
460,1,-0.0225110330310695,canam4,slow,WS
461,2,-0.0390378297562048,canesm5,slow,WS
462,3,0.0943979929136795,e3sm,slow,WS
463,4,0.0100945883647073,gfdl,slow,WS
464,5,0.0117626018570408,hg2,slow,WS
465,6,0.0202687029328965,hg3,slow,WS
466,7,-0.0013484554866313,ipsl,slow,WS
467,8,0.0588583569212523,mies2l,slow,WS
468,9,0.0564702671914383,miesm,slow,WS
469,10,0.0747924541579925,mi5,slow,WS
470,11,0.056113943203763,mi6,slow,WS
471,12,-0.0522346678831772,mpi,slow,WS
472,13,-0.0038328956274439,mrcgcm,slow,WS
473,14,0.0407894845708821,mresm,slow,WS
474,15,0.0187326207259021,ukesm,slow,WS
