,Unnamed: 0,dR/dT,models,experiment,var
253,15,-0.0167330963218016,ukesm,hist,Omega
255,0,-0.010924890248036,ccsm4,hist,WS
256,1,0.010410708070274,canam4,hist,WS
257,2,0.0231949184589297,canesm5,hist,WS
258,3,0.0849750199422861,e3sm,hist,WS
259,4,-0.001613382456029,gfdl,hist,WS
260,5,-0.0269135831402215,hg2,hist,WS
261,6,0.001896056663012,hg3,hist,WS
262,7,-0.0401464422850149,ipsl,hist,WS
263,8,-0.0246227435011709,mies2l,hist,WS
264,9,-0.1025753042692933,miesm,hist,WS
265,10,0.0482302130986148,mi5,hist,WS
266,11,0.0273029348701843,mi6,hist,WS
267,12,0.0548237967246844,mpi,hist,WS
268,13,0.0082173118627496,mrcgcm,hist,WS
269,14,-0.0064215716978761,mresm,hist,WS
270,15,-0.0167953558919069,ukesm,hist,WS
272,0,0.3788678780795497,ccsm4,fast,SST
273,1,0.2606765788614524,canam4,fast,SST
274,2,0.7736047337709822,canesm5,fast,SST
275,3,0.1854865517206926,e3sm,fast,SST
276,4,0.1963497025889285,gfdl,fast,SST
277,5,0.1621950415195549,hg2,fast,SST
278,6,0.1433982808918193,hg3,fast,SST
279,7,0.2489483962115525,ipsl,fast,SST
280,8,-0.0156506105272347,mies2l,fast,SST
281,9,0.546235222515534,miesm,fast,SST
282,10,-0.0792853293112699,mi5,fast,SST
283,11,0.2172795330234617,mi6,fast,SST
284,12,-0.0815423638348372,mpi,fast,SST
285,13,0.0676340688995088,mrcgcm,fast,SST
286,14,0.010166412747367,mresm,fast,SST
287,15,0.1249348617282141,ukesm,fast,SST
289,0,-0.0842505067788652,ccsm4,fast,EIS
290,1,-0.0065949045938743,canam4,fast,EIS
291,2,-0.0827101375964674,canesm5,fast,EIS
292,3,-0.0720373268595594,e3sm,fast,EIS
293,4,-0.2138517944365922,gfdl,fast,EIS
294,5,-0.2006385840015053,hg2,fast,EIS
295,6,-0.1577443303550681,hg3,fast,EIS
296,7,-0.1886979783594009,ipsl,fast,EIS
297,8,-0.1172849924975459,mies2l,fast,EIS
298,9,-0.1481762230775771,miesm,fast,EIS
299,10,-0.0833271424840185,mi5,fast,EIS
300,11,-0.1850913520541047,mi6,fast,EIS
301,12,-0.3122610673395719,mpi,fast,EIS
302,13,-0.1232744544407937,mrcgcm,fast,EIS
303,14,-0.2039702595109321,mresm,fast,EIS
304,15,-0.1390660273859434,ukesm,fast,EIS
306,0,-0.0022873811007493,ccsm4,fast,Tadv
307,1,-0.0009533256154936,canam4,fast,Tadv
