,Unnamed: 0,dR/dT,models,experiment,var
398,7,0.053037968842809,ipsl,slow,EIS
399,8,0.038013112647292,mies2l,slow,EIS
400,9,0.0159447536061373,miesm,slow,EIS
401,10,0.0420942152404869,mi5,slow,EIS
402,11,-0.0206698282041757,mi6,slow,EIS
403,12,-0.0243135788458856,mpi,slow,EIS
404,13,0.0828049622181751,mrcgcm,slow,EIS
405,14,0.1553204313033709,mresm,slow,EIS
406,15,0.165696300108932,ukesm,slow,EIS
408,0,0.0042604771321571,ccsm4,slow,Tadv
409,1,0.0253020361593422,canam4,slow,Tadv
410,2,-0.0056867697681467,canesm5,slow,Tadv
411,3,0.0079231464239238,e3sm,slow,Tadv
412,4,0.005570832501273,gfdl,slow,Tadv
413,5,0.0113521812038627,hg2,slow,Tadv
414,6,0.0084984821549334,hg3,slow,Tadv
415,7,-0.0056119185827351,ipsl,slow,Tadv
416,8,0.0058609751495043,mies2l,slow,Tadv
417,9,0.0087909081973901,miesm,slow,Tadv
418,10,0.0068926124715776,mi5,slow,Tadv
419,11,-0.0039563745493256,mi6,slow,Tadv
420,12,0.0059253121686827,mpi,slow,Tadv
421,13,-0.0145938752227419,mrcgcm,slow,Tadv
422,14,0.018581701249297,mresm,slow,Tadv
423,15,0.0154956402391831,ukesm,slow,Tadv
425,0,-0.0524211358242871,ccsm4,slow,RH
426,1,-0.0017544954758804,canam4,slow,RH
427,2,-0.0322580459629503,canesm5,slow,RH
428,3,-0.0335379459829365,e3sm,slow,RH
429,4,-0.0353172730569082,gfdl,slow,RH
430,5,-0.0106490948101324,hg2,slow,RH
431,6,0.0194295020797089,hg3,slow,RH
432,7,-0.0401567634252258,ipsl,slow,RH
433,8,0.0043055608449719,mies2l,slow,RH
434,9,-0.0122511936253886,miesm,slow,RH
435,10,-0.0085997094832118,mi5,slow,RH
436,11,0.0076729650009294,mi6,slow,RH
437,12,-0.0148382596663913,mpi,slow,RH
438,13,-0.0072019298037561,mrcgcm,slow,RH
439,14,-0.0471080638361095,mresm,slow,RH
440,15,0.0183382898339478,ukesm,slow,RH
442,0,-0.0067173614260856,ccsm4,slow,Omega
443,1,-0.0070555925470767,canam4,slow,Omega
444,2,-0.0044541752649663,canesm5,slow,Omega
445,3,-0.00987660982942,e3sm,slow,Omega
446,4,-0.0062951746340081,gfdl,slow,Omega
447,5,-0.0092755244352437,hg2,slow,Omega
448,6,-0.007710240579441,hg3,slow,Omega
449,7,-0.0082605809745203,ipsl,slow,Omega
450,8,-0.0055682255768703,mies2l,slow,Omega
451,9,-0.005426152655821,miesm,slow,Omega
452,10,0.000905316860246,mi5,slow,Omega
453,11,-0.0084114177486606,mi6,slow,Omega
454,12,-0.003743433607562,mpi,slow,Omega
455,13,-0.0016034827411866,mrcgcm,slow,Omega
456,14,-0.0052308563544071,mresm,slow,Omega
457,15,-0.0125619584502972,ukesm,slow,Omega
459,0,0.0304174217070527,ccsm4,slow,WS
460,1,0.033746011102339,canam4,slow,WS
461,2,0.0185295070387818,canesm5,slow,WS
462,3,0.0569611128899409,e3sm,slow,WS
463,4,0.0355868198076871,gfdl,slow,WS
464,5,0.0211066659183007,hg2,slow,WS
465,6,0.0413654217238754,hg3,slow,WS
466,7,0.0290391713743204,ipsl,slow,WS
467,8,0.0152856226496003,mies2l,slow,WS
468,9,0.0129337133179675,miesm,slow,WS
469,10,0.0101235551159267,mi5,slow,WS
470,11,0.0196303426425633,mi6,slow,WS
471,12,0.0137566669105918,mpi,slow,WS
472,13,0.0132445088728923,mrcgcm,slow,WS
473,14,0.033727934017941,mresm,slow,WS
474,15,0.0397442232647555,ukesm,slow,WS
