,Unnamed: 0,dR/dT,models,experiment,var
361,4,0.0098283025239262,gfdl,fast,WS
362,5,0.025515380928689,hg2,fast,WS
363,6,0.0324127069865775,hg3,fast,WS
364,7,0.0380648287905209,ipsl,fast,WS
365,8,0.0237915159429886,mies2l,fast,WS
366,9,0.0192022723394445,miesm,fast,WS
367,10,0.0307142157459172,mi5,fast,WS
368,11,0.0267482408079707,mi6,fast,WS
369,12,0.0026496116854276,mpi,fast,WS
370,13,0.0034975069885889,mrcgcm,fast,WS
371,14,0.0166098747800843,mresm,fast,WS
372,15,0.0230608753327914,ukesm,fast,WS
374,0,0.4570780944088997,ccsm4,slow,SST
375,1,0.2466408313701118,canam4,slow,SST
376,2,0.3031447057716116,canesm5,slow,SST
377,3,0.6062988776022888,e3sm,slow,SST
378,4,0.3494195117909875,gfdl,slow,SST
379,5,0.3362379088888033,hg2,slow,SST
380,6,0.5028361542997574,hg3,slow,SST
381,7,0.3178369280413249,ipsl,slow,SST
382,8,0.1439311419034845,mies2l,slow,SST
383,9,0.1293181661976495,miesm,slow,SST
384,10,0.1107944368400897,mi5,slow,SST
385,11,0.3189115337796831,mi6,slow,SST
386,12,0.2964008461078753,mpi,slow,SST
387,13,0.1665065699643153,mrcgcm,slow,SST
388,14,0.2813267606027828,mresm,slow,SST
389,15,0.4688254262623989,ukesm,slow,SST
391,0,0.0083419403522592,ccsm4,slow,EIS
392,1,0.2521324223065697,canam4,slow,EIS
393,2,0.0723535086065329,canesm5,slow,EIS
394,3,0.0809137528447845,e3sm,slow,EIS
395,4,0.2187934671118107,gfdl,slow,EIS
396,5,-0.0160015427912613,hg2,slow,EIS
397,6,0.1239091063233351,hg3,slow,EIS
398,7,0.0710327851071568,ipsl,slow,EIS
399,8,0.0445933925995349,mies2l,slow,EIS
400,9,0.0254489116143868,miesm,slow,EIS
401,10,0.0489746180535264,mi5,slow,EIS
402,11,-0.0764811112003761,mi6,slow,EIS
403,12,-0.0479873912027365,mpi,slow,EIS
404,13,0.0899517877838263,mrcgcm,slow,EIS
405,14,0.1586279565418781,mresm,slow,EIS
406,15,0.1561680997523896,ukesm,slow,EIS
408,0,0.0084893968251386,ccsm4,slow,Tadv
409,1,0.0316044572627835,canam4,slow,Tadv
410,2,-0.0051571066840463,canesm5,slow,Tadv
411,3,0.0256264735779035,e3sm,slow,Tadv
412,4,0.0173149363572302,gfdl,slow,Tadv
413,5,0.0132286978572737,hg2,slow,Tadv
414,6,0.0193175600695601,hg3,slow,Tadv
415,7,-0.0061854995931763,ipsl,slow,Tadv
416,8,0.0084109946167698,mies2l,slow,Tadv
417,9,0.0111689680472195,miesm,slow,Tadv
418,10,0.0125212911789695,mi5,slow,Tadv
419,11,0.0014681797123844,mi6,slow,Tadv
420,12,0.0067932073476389,mpi,slow,Tadv
421,13,-0.013515203466886,mrcgcm,slow,Tadv
422,14,0.0296624423350965,mresm,slow,Tadv
423,15,0.0194856672607321,ukesm,slow,Tadv
425,0,-0.0666899840771478,ccsm4,slow,RH
426,1,0.0102763132560876,canam4,slow,RH
427,2,-0.0389664104716494,canesm5,slow,RH
428,3,-0.0295484347868007,e3sm,slow,RH
429,4,-0.0421964922289389,gfdl,slow,RH
430,5,-0.0152406436210279,hg2,slow,RH
431,6,0.0724591043006726,hg3,slow,RH
432,7,-0.049961949877798,ipsl,slow,RH
433,8,0.0120980904014958,mies2l,slow,RH
434,9,-0.0156771533100623,miesm,slow,RH
435,10,-0.0118762744592358,mi5,slow,RH
436,11,0.0390963331772057,mi6,slow,RH
437,12,-0.0062920315166666,mpi,slow,RH
438,13,-0.0032915783631674,mrcgcm,slow,RH
439,14,-0.0524786831990172,mresm,slow,RH
440,15,0.0651579684808718,ukesm,slow,RH
442,0,-0.0159585652042736,ccsm4,slow,Omega
443,1,-0.0123663486344081,canam4,slow,Omega
444,2,-0.0081838353947597,canesm5,slow,Omega
445,3,-0.0214363671537409,e3sm,slow,Omega
446,4,-0.0197809672530962,gfdl,slow,Omega
447,5,-0.0159235523872714,hg2,slow,Omega
448,6,-0.0200892343029201,hg3,slow,Omega
449,7,-0.016504613074928,ipsl,slow,Omega
450,8,-0.0129197761889729,mies2l,slow,Omega
451,9,-0.0115503203445974,miesm,slow,Omega
452,10,-0.000934306032505,mi5,slow,Omega
453,11,-0.0152803802209802,mi6,slow,Omega
454,12,-0.0104156237208044,mpi,slow,Omega
455,13,-0.0015491949247659,mrcgcm,slow,Omega
456,14,-0.0133489814431939,mresm,slow,Omega
457,15,-0.02359538180641,ukesm,slow,Omega
459,0,0.0589774652852348,ccsm4,slow,WS
460,1,0.0520931894662751,canam4,slow,WS
461,2,0.0329899265450246,canesm5,slow,WS
462,3,0.1012846595873116,e3sm,slow,WS
463,4,0.0622542752260253,gfdl,slow,WS
464,5,0.043196454637371,hg2,slow,WS
465,6,0.0789640729132723,hg3,slow,WS
466,7,0.0497235353658104,ipsl,slow,WS
467,8,0.0311570029097702,mies2l,slow,WS
468,9,0.0234960563218493,miesm,slow,WS
469,10,0.0181718870280766,mi5,slow,WS
470,11,0.0287000281524189,mi6,slow,WS
471,12,0.026982734595775,mpi,slow,WS
472,13,0.0301264500563897,mrcgcm,slow,WS
473,14,0.0554987681903338,mresm,slow,WS
474,15,0.0699149111424428,ukesm,slow,WS
