,Unnamed: 0,dR/dT,models,experiment,var
327,4,-4.319421302432683e-05,gfdl,fast,RH
328,5,-0.006845981850494,hg2,fast,RH
329,6,0.0411786450868823,hg3,fast,RH
330,7,-0.0181672511363295,ipsl,fast,RH
331,8,0.0512114881727086,mies2l,fast,RH
332,9,0.0247001416522492,miesm,fast,RH
333,10,0.0556559326260337,mi5,fast,RH
334,11,-0.0243011238808281,mi6,fast,RH
335,12,0.0037096273507409,mpi,fast,RH
336,13,0.0129561841738783,mrcgcm,fast,RH
337,14,0.0174708972912145,mresm,fast,RH
338,15,0.060155757848448,ukesm,fast,RH
340,0,-0.0021308416624743,ccsm4,fast,Omega
341,1,-0.0095727977697081,canam4,fast,Omega
342,2,-0.0066679985533265,canesm5,fast,Omega
343,3,-0.0177919536172199,e3sm,fast,Omega
344,4,-0.0068756591158431,gfdl,fast,Omega
345,5,-0.0030407112594105,hg2,fast,Omega
346,6,-0.010147248029685,hg3,fast,Omega
347,7,-0.0048928422755414,ipsl,fast,Omega
348,8,-0.0078968365701732,mies2l,fast,Omega
349,9,-0.0029907961624901,miesm,fast,Omega
350,10,-0.0042819672792539,mi5,fast,Omega
351,11,-0.0078580408436433,mi6,fast,Omega
352,12,-0.0069051506762883,mpi,fast,Omega
353,13,-0.0064294748448753,mrcgcm,fast,Omega
354,14,-5.512939351861374e-05,mresm,fast,Omega
355,15,-0.0074592547559947,ukesm,fast,Omega
357,0,0.0268590869278246,ccsm4,fast,WS
358,1,0.0186134871647978,canam4,fast,WS
359,2,0.0064238537232351,canesm5,fast,WS
360,3,0.039970155996971,e3sm,fast,WS
361,4,0.0143300063644093,gfdl,fast,WS
362,5,0.0240165828866813,hg2,fast,WS
363,6,0.0307877327522405,hg3,fast,WS
364,7,0.0294805067408937,ipsl,fast,WS
365,8,0.0219476153630345,mies2l,fast,WS
366,9,0.0196671150538125,miesm,fast,WS
367,10,0.0288473783592162,mi5,fast,WS
368,11,0.0327360822228634,mi6,fast,WS
369,12,0.0028686191619056,mpi,fast,WS
370,13,0.0055152029061642,mrcgcm,fast,WS
371,14,0.0115004589580701,mresm,fast,WS
372,15,0.0188202073535481,ukesm,fast,WS
374,0,0.415767652987271,ccsm4,slow,SST
375,1,0.2081060550601208,canam4,slow,SST
376,2,0.2337136349474111,canesm5,slow,SST
377,3,0.4717144469986171,e3sm,slow,SST
378,4,0.2963263372965554,gfdl,slow,SST
379,5,0.2641078057588549,hg2,slow,SST
380,6,0.4301453295884951,hg3,slow,SST
381,7,0.27437024897451,ipsl,slow,SST
382,8,0.1373130488024129,mies2l,slow,SST
383,9,0.1427513130608843,miesm,slow,SST
384,10,0.0897146104685302,mi5,slow,SST
385,11,0.2658551761076678,mi6,slow,SST
386,12,0.2372257482713359,mpi,slow,SST
387,13,0.1565387935264676,mrcgcm,slow,SST
388,14,0.2289726833510393,mresm,slow,SST
389,15,0.4260792941412796,ukesm,slow,SST
391,0,-0.0640331383394244,ccsm4,slow,EIS
392,1,0.2913650528850169,canam4,slow,EIS
393,2,0.0767328206451228,canesm5,slow,EIS
394,3,0.0732320482098428,e3sm,slow,EIS
395,4,0.2201197275163066,gfdl,slow,EIS
396,5,-0.0376154887521052,hg2,slow,EIS
397,6,0.1010295970793683,hg3,slow,EIS
398,7,0.0130705876383507,ipsl,slow,EIS
399,8,0.0284399952920238,mies2l,slow,EIS
400,9,0.0016108390356806,miesm,slow,EIS
401,10,0.0366732971632287,mi5,slow,EIS
402,11,-0.1236524574859708,mi6,slow,EIS
403,12,-0.0788060905347207,mpi,slow,EIS
404,13,0.0875955423447915,mrcgcm,slow,EIS
405,14,0.1662655987791321,mresm,slow,EIS
406,15,0.1449566741487619,ukesm,slow,EIS
408,0,0.0066489995342751,ccsm4,slow,Tadv
409,1,0.0391221673657979,canam4,slow,Tadv
410,2,-0.0040356758371677,canesm5,slow,Tadv
411,3,0.015945231089035,e3sm,slow,Tadv
412,4,0.0160571940039157,gfdl,slow,Tadv
413,5,0.0214719247283584,hg2,slow,Tadv
414,6,0.0155928470218523,hg3,slow,Tadv
415,7,-0.0052126365934287,ipsl,slow,Tadv
416,8,0.0124294948512869,mies2l,slow,Tadv
417,9,0.0156755574202415,miesm,slow,Tadv
418,10,0.016451143866113,mi5,slow,Tadv
419,11,-0.0037383829082115,mi6,slow,Tadv
420,12,0.0106503558191768,mpi,slow,Tadv
421,13,-0.0109290204203242,mrcgcm,slow,Tadv
422,14,0.0325582858640906,mresm,slow,Tadv
423,15,0.0210097655152754,ukesm,slow,Tadv
425,0,-0.0837185734821962,ccsm4,slow,RH
426,1,-0.0079593246870609,canam4,slow,RH
427,2,-0.0567065990639988,canesm5,slow,RH
428,3,-0.07480607382329,e3sm,slow,RH
429,4,-0.0606952580281544,gfdl,slow,RH
430,5,-0.0251705184476452,hg2,slow,RH
431,6,0.018608751459823,hg3,slow,RH
432,7,-0.0569815832785094,ipsl,slow,RH
433,8,-0.0023487978804965,mies2l,slow,RH
434,9,-0.0222845388271016,miesm,slow,RH
435,10,-0.0248002975696329,mi5,slow,RH
436,11,0.0058655325257325,mi6,slow,RH
437,12,-0.0265885040707507,mpi,slow,RH
438,13,-0.0102657968690979,mrcgcm,slow,RH
439,14,-0.08205580239272,mresm,slow,RH
440,15,0.0186587144313228,ukesm,slow,RH
442,0,-0.007378844096581,ccsm4,slow,Omega
443,1,-0.0066544921383183,canam4,slow,Omega
444,2,-0.0055099542354588,canesm5,slow,Omega
445,3,-0.0094072352330716,e3sm,slow,Omega
446,4,-0.0048520041480771,gfdl,slow,Omega
447,5,-0.0106372194711413,hg2,slow,Omega
448,6,-0.0087957367532365,hg3,slow,Omega
449,7,-0.0069689437482023,ipsl,slow,Omega
450,8,-0.004077078371897,mies2l,slow,Omega
451,9,-0.0035387830010925,miesm,slow,Omega
452,10,0.0032865569711018,mi5,slow,Omega
453,11,-0.0129773705081073,mi6,slow,Omega
454,12,-0.0055912047874496,mpi,slow,Omega
455,13,-0.0023565057389007,mrcgcm,slow,Omega
456,14,-0.005562166072496,mresm,slow,Omega
457,15,-0.0150893406486818,ukesm,slow,Omega
459,0,0.0450428927333908,ccsm4,slow,WS
460,1,0.04305751064163,canam4,slow,WS
461,2,0.0284231446460598,canesm5,slow,WS
462,3,0.0849461040002505,e3sm,slow,WS
463,4,0.0573027013567592,gfdl,slow,WS
464,5,0.033552614155086,hg2,slow,WS
465,6,0.060398168364182,hg3,slow,WS
466,7,0.0393608425401363,ipsl,slow,WS
467,8,0.0282655870249442,mies2l,slow,WS
468,9,0.0230149436631274,miesm,slow,WS
469,10,0.0205304049734156,mi5,slow,WS
470,11,0.0299268110621146,mi6,slow,WS
471,12,0.023532962533474,mpi,slow,WS
472,13,0.0207128082138567,mrcgcm,slow,WS
473,14,0.0500523759444549,mresm,slow,WS
474,15,0.0574530117289303,ukesm,slow,WS
